patent_id,label,content,label_USPTO_original,predictions,predictions_GPT4,Manual Audit
10000205,0,"Tell me whether this is a green patent related to transportation with Yes or No. Fail-safe control apparatus for hybrid vehicles.A fail-safe control device is provided for hybrid vehicles which allows a travel distance of a vehicle to be extended in an event of an ON-failure of a second clutch. An integrated controller switches between an HEV mode and an EV mode by controlling a first clutch between an engine and a motor, and a second clutch between the motor and a continuously variable transmission. The integrated controller prohibits the transition from the HEV mode to the EV mode when a clutch failure determination unit detects an ON-failure of the second clutch while the vehicle is traveling in the HEV mode.",Yes,Yes,Yes,Yes
10000206,0,"Tell me whether this is a green patent related to transportation with Yes or No. Control apparatus for power transmission system.When an electrical continuously variable transmission malfunctions and the operation of an engine is stopped, an automatic transmission is caused to upshift. Therefore, when the rotation of the engine is stopped as a result of a stop of the operation, an AT input rotation speed is decreased as compared to that before it is determined that there is a malfunction in the electrical continuously variable transmission. Thus, an MG1 rotation speed is decreased in absolute value as compared to when the automatic transmission is not caused to upshift, so an overspeed of a first electric motor is prevented.",Yes,Yes,Yes,Yes
10000294,0,"Tell me whether this is a green patent related to transportation with Yes or No. Aircraft fuel tank flammability reduction method and system.An aircraft fuel tank flammability reduction method includes feeding pressurized air into an air separation module containing a carbon membrane, the air feed exhibiting a normal pressure of no more than 55 psig. The method includes producing nitrogen-enriched air from the air separation module as a result of removing oxygen from the air feed. An aircraft fuel tank flammability reduction system includes a source for pressurized air, an air separation module configured to receive air feed from the pressurized air source, and a carbon membrane. The carbon membrane is configured to permeate oxygen from the air feed through the carbon membrane at a temperature of at least 120° C. (248° F.) and to produce nitrogen-enriched air from the air separation module as a result of removing oxygen from the air feed.",Yes,Yes,Yes,Yes
10000908,0,"Tell me whether this is a green patent related to transportation with Yes or No. Hybrid-type working machine.There are provided an electric motor (12) driven by an engine (8) to generate power or assists in driving the engine (8), a heat exchanger (13) to which cooling air is supplied by a cooling fan (8A), a heat exchanger upstream room (28) upstream of the heat exchanger (13), an electricity storage device (30) that stores or discharges power, and an inverter device (34) for controlling an operation of the electric motor (12). A radiator (42) for cooling the electricity storage device and a radiator (46) for cooling the are separately provided to be independent from each other, and are arranged in parallel between the heat exchanger (13) and the electricity storage device (30) in the heat exchanger upstream room (28).",Yes,Yes,Yes,Yes
10001012,0,"Tell me whether this is a green patent related to transportation with Yes or No. Turbine wheel of an exhaust-gas turbocharger.A turbine wheel (1) of an exhaust-gas turbocharger (2), formed from a titanium aluminide material, having a wheel back (7) which is of closed configuration as viewed from an axial direction (A) and which has an outer contour (17), a hub (3) which extends from the wheel back (7) and which tapers along the axial direction (A), and a multiplicity of turbine blades (4) which extend from the wheel back (7) and from the hub (3) and which blades extend outward in a radial direction (R), as far as a connection region outer diameter (DAB) at least in a connection region (5). The wheel back (7) has, in an outer region (11) adjoining the connection region (5), a wheel back outer diameter (DRR) which is greater than or equal to the connection region outer diameter (DAB).",Yes,Yes,Yes,Yes
10001023,0,"Tell me whether this is a green patent related to transportation with Yes or No. Grooved seal arrangement for turbine engine.A seal arrangement for a gas turbine engine according to an example of the present disclosure includes, among other things, a component including a body having a cold side surface adjacent to a mate face, and a seal member including a leading edge region and a trailing edge region spaced by sidewalls. The seal member defines one or more grooves. A length of the one or more grooves abuts the cold side surface to define one or more cooling passages, with at least one of the one or more cooling passages having a flared inlet defined by a corresponding one of the one or more grooves.",Yes,Yes,No,Yes
10001046,0,Tell me whether this is a green patent related to transportation with Yes or No. Methods to adapt reductant injection controls for catalyst aging.A system includes an exhaust treatment system configured to treat emissions from a combustion engine via a catalyst. The system includes a controller configured to obtain an operating parameter indicating catalyst performance. The controller is configured to determine a deterioration factor indicating deterioration of the catalyst based at least in part on the operating parameter. The controller is configured to determine an adaptation term configured to modify a reductant injection command for the combustion engine to account for the deterioration factor of the catalyst. The controller is configured to generate a signal indicating the adaptation term.,Yes,Yes,Yes,Yes
10001053,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method and device for the purification of diesel exhaust gases.The invention proposes a method for the purification of exhaust gases which are generated by a diesel engine with a charging turbine, and a special device for carrying out said method. The device comprises, in the flow direction of the exhaust gas, a dosing device for a reducing agent from a reducing agent reservoir (2), an SCR catalytic converter (3), an oxidation catalytic converter (4) and a diesel particle filter (5). The system is particularly suitable for the purification of the exhaust gases of diesel vehicles in which engines with a turbocharger (charging turbine (1)) and an exhaust-gas recirculation device are used, which engines generate exhaust gases which, in addition to carbon monoxide, hydrocarbons and particles, have nitrogen oxides with an NO2/NOX ratio of between 0.3 and 0.7.",Yes,Yes,Yes,Yes
10001062,0,"Tell me whether this is a green patent related to transportation with Yes or No. Aircraft turbine engine comprising an air intake housing with a variable aerodynamic profile.An aircraft turbine engine includes a fan duct having a wall; an air passage arranged in the wall and including an air inlet opening at the wall, the air passage being designed to receive part of the flow of air from the fan duct across the opening; an air intake housing located above the air inlet opening and fixed to the wall, the housing being arranged to intercept part of the air flow in the fan duct, and successively including, in the air flow direction, an upstream wall then a downstream wall, an upstream opening and a downstream opening arranged on the upstream wall and the downstream wall, respectively, the inside of the housing being in fluidic connection to the air inlet opening, and a movable sealing means between an “open�?position; and a “closed�?position relative to the downstream opening and the air inlet opening.",Yes,No,No,No
10001069,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method for reducing exhaust gas of mild hybrid system.A method for reducing an exhaust gas of a mild hybrid system may include determining by an electronic control unit (ECU) whether an engine enters a full load region or a partial load region, based on a position of an accelerator pedal, controlling, by the ECU, the operation of an electric supercharger, based on information on an engine rotational frequency, when a vehicle is driven while being accelerated in a state in which the engine enters the full load region, and controlling, by the ECU, the operation of the electric supercharger by determining whether the vehicle is accelerated, based on an incremental slope of the position of the accelerator pedal, when the engine enters the partial load region.",Yes,Yes,Yes,Yes
10001070,0,"Tell me whether this is a green patent related to transportation with Yes or No. Multi-fuel engine controls including multi-factor cost optimization.One exemplary embodiment is a system comprising a multi-fuel engine structured to selectably combust varying proportions of a first type of fuel and a second type of fuel, and an electronic control system structured to control the provision of at least one of the first type of fuel and the second type of fuel to the engine using a multi-factor cost optimization. The multi-factor cost optimization may account for a plurality of factors including one or more environment factors, location factors, mission factors, warranty factors, operator-specified factors and/or fleet-specified factors.",Yes,Yes,Yes,Yes
10001071,0,"Tell me whether this is a green patent related to transportation with Yes or No. Control system and control method for internal combustion engine.A control system and a control method for an internal combustion engine, which are capable of accurately calculating an in-cylinder gas amount and an EGR ratio by a relatively simple method even in a case where an in-cylinder gas temperature is changed by execution of internal EGR, and properly controlling the engine using the EGR ratio thus calculated. An in-cylinder gas amount Gact actually filled in the cylinder is calculated by correcting an ideal in-cylinder gas amount Gth, which is an amount of gases filled in a cylinder in an ideal state in which it is assumed that no exhaust gases of the engine are recirculated into the cylinder, using an ideal in-cylinder gas temperature Tcylth according to an in-cylinder gas temperature Tcyl, and an EGR ratio REGRT is calculated using the in-cylinder gas amount Gact and an intake air amount Gaircyl.",Yes,Yes,Yes,Yes
10001073,0,"Tell me whether this is a green patent related to transportation with Yes or No. Systems and methods for multiple catalyst light off events during drive cycle.A catalyst control system includes a stop and start module that, during a period that the vehicle is ON between (i) a first time when the vehicle is turned ON and (i) a second time when the vehicle is next turned OFF, selectively shuts down and starts a spark ignition engine of the vehicle. A catalyst light off (CLO) control module initiates a first CLO event for a first engine startup during the period and, when a temperature of a catalyst that receives exhaust output by the engine is less than a predetermined temperature, selectively initiates a second CLO event for a second engine startup during the period. A fuel control module richens fueling of the engine during the first and second CLO events of the period. A spark control module retards spark timing of the engine during the first and second CLO events of the period.",Yes,Yes,Yes,Yes
10001074,0,"Tell me whether this is a green patent related to transportation with Yes or No. Control apparatus for internal combustion engine.According to first quantity of state control, a rich spike is executed while actuating a WGV so as to decrease turbocharging pressure, and after completion of the rich spike, the WGV is actuated to raise the turbocharging pressure again, the combustion air-fuel ratio is adjusted to the theoretical air-fuel ratio while suppressing an air amount by a throttle so as not to vary shaft torque until the turbocharging pressure is restored, and upon the turbocharging pressure being restored the air amount is increased by the throttle and the combustion air-fuel ratio is returned to a lean air-fuel ratio. According to second quantity of state control, a rich spike is executed while actuating the WGV so as to maintain the turbocharging pressure, and after completion of the rich spike, the air amount is increased by the throttle and the combustion air-fuel ratio is returned to a lean air-fuel ratio.",Yes,Yes,Yes,Yes
10001075,0,"Tell me whether this is a green patent related to transportation with Yes or No. Internal combustion engine.An internal combustion engine including a combustion chamber; a compressed gas valve wherein the compressed gas valve is arranged to enable compressed gas to be extracted from the internal combustion engine and used to provide power for mechanical functions: and a controller, wherein the controller is configured to receive a signal indicative of the configuration of the internal combustion engine and cause the compressed gas valve to be opened in response to a signal indicating at least one of that the internal combustion engine is decelerating and a throttle is closed to enable compressed gas to be extracted from the internal combustion engine via the compressed gas valve.",Yes,Yes,No,Yes
10001091,0,"Tell me whether this is a green patent related to transportation with Yes or No. Vehicle powertrain with onboard catalytic reformer.Catalyst compositions suitable for use in the exhaust gas recycle stream of an internal combustion engine are provided. Such catalyst compositions typically provide significant amounts of methane in addition to syngas. A reformer incorporating such a catalyst for use in an exhaust gas recycle portion of an internal combustion engine powertrain is described. A powertrain incorporating such a reformer, a method of increasing the octane rating of an exhaust gas recycle stream, and a method of operating an internal combustion engine using methane-assisted combustion are also described.",Yes,Yes,Yes,Yes
10001104,0,Tell me whether this is a green patent related to transportation with Yes or No. Control apparatus for internal combustion engine.A control apparatus for an internal combustion engine is provided which works to control an electric motor to start the engine through a belt transmission system. The control apparatus restricts rotation of the electric motor so as to keep a speed of the electric motor below a speed at which the electric motor is capable of producing a maximum torque until a given period of time passes since the electric motor is actuated to start in the motor mode. This enables the electric motor to generate the maximum torque when it is required to crank the engine.,Yes,Yes,Yes,Yes
10001142,0,"Tell me whether this is a green patent related to transportation with Yes or No. Turbine casing of an exhaust-gas turbocharger.The invention relates to a turbine casing of an exhaust-gas turbocharger, having an inlet connection piece adjoined by a spiral, and having an outlet connection piece, characterized by an insulating device for reducing the input of heat into the inlet connection piece, the spiral and/or the outlet connection piece.",Yes,No,Yes,Yes
10001527,0,"Tell me whether this is a green patent related to transportation with Yes or No. Battery-monitoring system and identifying-information setting method.Each of a plurality of monitoring units (10) that monitor the states of batteries allocates, as identifying information for itself, identifying information corresponding to an input signal inputted from a preceding control unit (3) or monitoring unit (10); outputs, to a subsequent monitoring unit (10), a signal that differs from the input signal corresponding to the identifying information the monitoring unit (10) in question has allocated to itself; and, if and when identifying information corresponding to an input signal differs from the identifying information the monitoring unit (10) in question had allocated to itself, reallocates identifying information corresponding to said input signal as identifying information for itself.",Yes,Yes,Yes,Yes
10002468,0,"Tell me whether this is a green patent related to transportation with Yes or No. Systems and methods for updating non-networked autonomous devices.Various arrangements for servicing autonomous devices via satellite-based communication links are detailed herein. A satellite transponder stream of data may be monitored via a tuner for an identifier indicative of an autonomous device. An update linked with the identifier may be acquired from the satellite-transmitted transponder stream of data. The acquired update may be stored at least until the autonomous device communicatively pairs with the network-independent maintenance device. The autonomous device may be communicatively paired with the system or device that received the satellite-broadcast update. In response to having acquired the update linked with the identifier from the transponder stream of data and the autonomous device being communicatively paired with the system or device, the acquired update may be transmitted to the autonomous device.",Yes,No,No,No
10003051,0,"Tell me whether this is a green patent related to transportation with Yes or No. System for the storage of electric energy for a vehicle with electric propulsion and presenting cylindrical chemical batteries embedded in a support matrix.A system for the storage of electric energy for a vehicle with electric propulsion, which presents a longitudinal direction, which is parallel to the direction of the rectilinear motion, and a transverse direction, which is perpendicular to the longitudinal direction; the storage system is provided with a pack of chemical batteries, which are connected to each other in series and in parallel and comprise respective electrochemical cells; each chemical battery has a cylindrical shape having a central symmetry axis; and a support matrix made of plastic material is provided, inside which the chemical batteries are embedded so that the chemical batteries are completely covered by the support matrix itself.",Yes,Yes,Yes,Yes
10003077,0,"Tell me whether this is a green patent related to transportation with Yes or No. Battery electrode binder and battery and electrode using same.Disclosed is a battery electrode binder containing a polymer including (1) a constituent unit derived from a (meth)acrylate monomer (A) having a hydroxyl group, (2) a constituent unit derived from a vinyl ester monomer (B), and (3) a constituent unit derived from a polyfunctional (meth)acrylate monomer (C). Using the binder, an electrode is produced and adopted in a battery such as a lithium ion secondary battery. Obtained are: an aqueous binder that has a low environmental impact, has high adhesiveness, and in particular does not cause oxidative degradation in the electrode environment; and a battery and electrode using the binder.",Yes,Yes,Yes,Yes
10003101,0,"Tell me whether this is a green patent related to transportation with Yes or No. Non-aqueous electrolytic solution, secondary battery, battery pack, electric vehicle, electric power storage system, electric power tool, and electronic apparatus.A secondary battery includes a cathode, an anode, and non-aqueous electrolytic solution. The non-aqueous electrolytic solution includes a boron compound. The boron compound includes six or more boron (B) atoms, and includes an octavalent boron-hydrogen-containing structure represented by Formula (1), a dodecavalent boron-carbon-containing structure represented by Formula (2), or both.",Yes,Yes,Yes,Yes
10003193,0,"Tell me whether this is a green patent related to transportation with Yes or No. Power supply system.A power supply includes a load, an electric power line connected to the load, first and second DC power supplies which supply electric power to the load, an electric power converter connected between the electric power line and the first and the second DC power supplies, and a controller controlling the electric power converter. The first DC power supply serves for a voltage control, while the second DC power supply serves for an electric power control. The controller sets a difference between an electric power requested by the load and target output electric power of the first DC power supply as target output electric power of the second DC power supply, and compensates the target output electric power of the first DC power supply in accordance with a difference between the actual and the target output electric powers of the second DC power supply.",Yes,No,No,No
10003203,0,"Tell me whether this is a green patent related to transportation with Yes or No. All-solid-state secondary battery system.An all-solid-state secondary battery system comprising: a sealed battery having formed by housing, in an outer package, a stacked battery; a jig adapted to constrain the sealed battery in the stacking direction; one or more contact pressure sensors provided at least either between an outermost layer surface of the stacked battery and the outer package or in the inside of the stacked battery; one or more gas pressure sensors provided in a space inside the outer package; and a control device adapted to stop charging by judging as an overcharge state only when the change in contact pressure sensed by at least one of the contact pressure sensors is equal to or more than a threshold value, and the change in gas pressure sensed by at least one of the gas pressure sensors is equal to or more than the threshold value.",Yes,Yes,No,Yes
10005020,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method for treating impurities contained in exhaust gases of ships, ship with a scrubber, and purification unit.A method for treating impurities contained in exhaust gases of ships to reduce sulphur oxide and other emissions, includes scrubbing the exhaust gases in an exhaust gas scrubber and supplying wash water effluent exiting from the scrubber and containing impurities to a purification unit onboard a ship. In order for the method to purify wash water exiting the scrubber sufficiently enough to be discharged directly to sea, the purification unit includes a moving filter band, whereby an aqueous fluid containing impurities originating from the effluent is together with a precipitating agent fed to a surface of the inclined filter band and filtered there through to concentrate impurities onto the surface of the band filter as a precipitate. When necessary, the pH of the purified effluent is adjusted so that it is at least 6.5 before discharging the purified effluent into the sea or returning it to the exhaust gas scrubber.",Yes,Yes,Yes,Yes
10005031,0,"Tell me whether this is a green patent related to transportation with Yes or No. Dual-layer catalyst.A dual-layer catalyst includes a substrate, a first layer disposed on the substrate, and a second layer disposed on the first layer. The first layer includes a first catalyst for storing NOx when the first catalyst has a temperature below an active temperature of a second catalyst. The first catalyst is to release the stored NOx when the first catalyst is heated to the active temperature of the second catalyst. The second layer includes the second catalyst for ammonia Selective Catalytic Reduction of the released NOx. The dual-layer catalyst is to be included in a catalytic converter and a catalyst system for reducing NOx emissions from a diesel engine, the NOx emissions including NOx emitted during a predetermined cold-start time period.",Yes,Yes,Yes,Yes
10005075,0,"Tell me whether this is a green patent related to transportation with Yes or No. Passive NOx adsorber.A passive NOx adsorber is disclosed. The passive NOx adsorber is effective to adsorb NOx at or below a low temperature and release the adsorbed NOx at temperatures above the low temperature. The passive NOx adsorber comprises a noble metal and a small pore molecular sieve. The small pore molecular sieve has a maximum ring size of eight tetrahedral atoms. The invention also includes an exhaust system comprising the passive NOx adsorber, and a method for treating exhaust gas from an internal combustion engine utilizing the passive NOx adsorber.",Yes,Yes,Yes,Yes
10005317,0,"Tell me whether this is a green patent related to transportation with Yes or No. Devices and methods of thermal management for a motorized wheel.A method of thermal management for an electrically motorized wheel, the method can include defining a thermally conductive path from at least one component, the at least one component becoming heated during operation of the electrically motorized wheel, providing the path with a thermally conductive material and further defining the path such that the path contacts the at least one component, further defining the path such that the path contacts a hub shell assembly of the electrically motorized wheel thereby conducting heat from the at least one component to the hub shell assembly.",Yes,Yes,Yes,Yes
10005336,0,"Tell me whether this is a green patent related to transportation with Yes or No. Vehicle.A vehicle includes a floor panel, a battery module, an exhaust duct, and a carpet. The battery module is disposed inside a vehicle interior. The exhaust duct is provided on the floor panel to discharge air output from the battery module through the exhaust duct. The carpet is disposed on the floor panel so as to cover the exhaust duct. The carpet has ventilation holes such that air discharged from the exhaust duct is to pass through a space between the floor panel and the carpet and to be discharged into the vehicle interior through ventilation holes.",Yes,Yes,Yes,Yes
10005369,0,"Tell me whether this is a green patent related to transportation with Yes or No. Non-contact power supply system.A non-contact power supply system supplies electricity in a non-contact manner between a power transmission coil of a power supply device 1 and a power reception coil of a vehicle. The vehicle 2 has a wireless communication unit that transmits to the power supply device a startup signal that starts up the power supply device. The power supply device has a reception unit that receives the startup signal. A controller controls the power supply device based on the startup signal. The communication unit transmits a first startup signal when the vehicle is traveling, and transmits a second startup signal when the vehicle is stopped. The controller controls the electricity supply device according to a first control flow when the first startup signal has been received, and controls the power supply device according to a second control flow when the second startup signal has been received.",Yes,Yes,Yes,Yes
10005372,0,Tell me whether this is a green patent related to transportation with Yes or No. Virtual assessment of battery state of health in electrified vehicles.A vehicle includes a traction battery and a controller programmed to operate the traction battery according to an estimated value of a battery state of health parameter. The estimated value is updated based on drive cycle parameters of the vehicle over a time interval. The state of health parameters include a battery capacity and a resistance of the traction battery.,Yes,Yes,Yes,Yes
10005373,0,"Tell me whether this is a green patent related to transportation with Yes or No. Battery control system and vehicle control system.A battery control system connected to a battery, which controls charge/discharge at the battery, includes: a current detection unit that measures a current value by detecting a charge/discharge current flowing through the battery; a voltage detection unit that detects a voltage at the battery; a temperature detection unit that detects a temperature at the battery; a temperature history recording unit that records temperature history pertaining to the temperature detected by the temperature detection unit; and a charge/discharge restriction unit that restricts the charge/discharge current in a low-temperature state based upon the temperature history recorded by the temperature history recording unit.",Yes,Yes,Yes,Yes
10005375,0,"Tell me whether this is a green patent related to transportation with Yes or No. Vehicle system and method for controlling torque delivery during transmission engagements with road grade and mass estimation.A method includes controlling a torque output of an electric machine of an electrified vehicle based on estimated loads present during a transmission engagement of the electrified vehicle. Controlling the torque output may include merging a first feed-forward torque with a feedback torque if an input shaft of a transmission gearbox is spinning, or merging a second, different feed-forward torque with the feedback torque if the input shaft is not spinning.",Yes,Yes,Yes,Yes
10005444,0,"Tell me whether this is a green patent related to transportation with Yes or No. Vehicle.An HV-ECU executes a control process including the step of executing reverse rotation prevention control for an engine when EV running is in execution in a vehicle (YES in S100), an ABS is usable (YES in S102) and a magnitude of an amount of change in rotation speed of a ring gear of a differential unit is larger than a threshold value A (YES in S104), or when the ABS is unusable (NO in S102) and a magnitude of an amount of reduction in rotation speed of the ring gear of the differential unit is larger than a threshold value B (YES in S106).",Yes,Yes,Yes,Yes
10005446,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method and device for controlling a battery state of charge for cruise travel of a hybrid vehicle.A method for controlling a state of charge (SOC) of a battery for a cruise travel of a hybrid vehicle includes predicting, by a controller, the SOC of the battery including a change slope of the SOC of the battery for the cruise travel based on a measured value of the SOC. The method includes determining, by the controller, whether the predicted SOC of the battery is equal to or greater than a maximum value of a normal range of the battery when the change slope of the SOC is greater than zero. The method includes driving, by the controller, only a driving motor of the hybrid vehicle whereby the driving motor uses electric power of the battery when the predicted SOC of the battery reaches the maximum value of the normal range of the battery. The normal range of the battery is a region required for the cruise travel of the hybrid vehicle.",Yes,Yes,Yes,Yes
10005447,0,"Tell me whether this is a green patent related to transportation with Yes or No. Vehicle, controller for vehicle, and control method for vehicle.A vehicle includes an engine, a first motor generator that is configured to generate electric power using the power of the engine, an electric storage device that is configured to store the electric power that is generated by the first motor generator, a connection part through which the electric power that has been stored in the electric storage device is supplied to the outside of the vehicle; and an ECU that is configured to start the engine when the SOC of the electric storage device reaches a predetermined starting threshold value. The ECU sets a starting threshold value ON2 that is used when the vehicle is in an undrivable condition and electric power is being supplied to the outside of the vehicle through the connection part to a value smaller than a starting threshold value ON1 that is used when the vehicle is in a drivable condition.",Yes,Yes,Yes,Yes
10005448,0,"Tell me whether this is a green patent related to transportation with Yes or No. Load based engine start-stop control.An engine control system for a vehicle includes a controller that initiates a start of the engine in response to a state of charge (SOC) of a battery falling below an engine start threshold, initiates a stop of the engine in response to the SOC exceeding an engine stop threshold, and adjusts a value of the engine start threshold based on whether a load remote from the vehicle is drawing power from the battery.",Yes,Yes,Yes,Yes
10005450,0,"Tell me whether this is a green patent related to transportation with Yes or No. Hybrid vehicle and method of controlling the same.A hybrid vehicle includes an internal combustion engine, a filter, an electrical storage device, a rotating electric machine, and a controller. The filter is configured to trap particulate matter in exhaust gas of the internal combustion engine. The rotating electric machine is configured to generate electric power using power from the internal combustion engine so as to charge the electrical storage device, and drive the internal combustion engine using electric power from the electrical storage device. The controller is configured to control the internal combustion engine and the rotating electric machine, so as to warm up the electrical storage device when regeneration control needs to be performed and when the temperature of the electrical storage device is lower than a reference value. The regeneration control is control for raising the temperature of the filter to a predetermined temperature so as to burn the particulate matter. The controller may be configured to execute the regeneration control when the temperature of the electrical storage device exceeds the reference value.",Yes,Yes,Yes,Yes
10005452,0,Tell me whether this is a green patent related to transportation with Yes or No. Apparatus and method for controlling hybrid electric vehicle including dual clutch transmission.A method and an apparatus for controlling a hybrid electric vehicle including a dual clutch transmission are provided. The method for controlling a hybrid electric vehicle including a dual clutch transmission may include: determining whether an engine start condition is satisfied in a state in which an engine is stopped; determining whether a kick-down shift condition is satisfied when the engine start condition is satisfied; connecting a speed gear corresponding to a target gear stage to an output shaft corresponding to the target gear stage when the kick-down shift condition is satisfied; determining whether a lock-up condition of an engine clutch is satisfied when the engine start condition is satisfied; locking up the engine clutch when the lock-up condition of the engine clutch is satisfied; and locking up a shift clutch corresponding to the target gear stage when the engine clutch is locked up.,Yes,No,Yes,Yes
10005453,0,"Tell me whether this is a green patent related to transportation with Yes or No. System and method for coordinated operation of integrated starter generator and power converter in a vehicle.A vehicle includes a hybrid powertrain with a motor/generator electrically coupled to a high-voltage bus to provide propulsion. The vehicle also includes an integrated starter/generator electrically copulated to a low-voltage bus and configured to start the engine. A vehicle power system includes a power converter electrically coupled between the high-voltage bus and the low-voltage bus. During engine start events, operation of the integrated starter/generator is coordinated with operation of the power converter to reduce voltage sag on the low-voltage bus. An increase rate of current supplied to the integrated starter/generator is limited such that a current output of the power converter does not saturate at a maximum current output for a period of time after initiating the engine start event.",Yes,Yes,Yes,Yes
